,Querylength,domain_token_count,path_token_count,avgdomaintokenlen,longdomaintokenlen,avgpathtokenlen,tld,charcompvowels,charcompace,ldl_url,ldl_domain,ldl_path,ldl_filename,ldl_getArg,dld_url,dld_domain,dld_path,dld_filename,dld_getArg,urlLen,domainlength,pathLength,subDirLen,fileNameLen,this.fileExtLen,ArgLen,pathurlRatio,ArgUrlRatio,argDomanRatio,domainUrlRatio,pathDomainRatio,argPathRatio,executable,isPortEighty,NumberofDotsinURL,ISIpAddressInDomainName,CharacterContinuityRate,LongestVariableValue,URL_DigitCount,host_DigitCount,Directory_DigitCount,File_name_DigitCount,Extension_DigitCount,Query_DigitCount,URL_Letter_Count,host_letter_count,Directory_LetterCount,Filename_LetterCount,Extension_LetterCount,Query_LetterCount,LongestPathTokenLength,Domain_LongestWordLength,Path_LongestWordLength,sub-Directory_LongestWordLength,Arguments_LongestWordLength,URL_sensitiveWord,URLQueries_variable,spcharUrl,delimeter_Domain,delimeter_path,delimeter_Count,NumberRate_URL,NumberRate_Domain,NumberRate_DirectoryName,NumberRate_FileName,NumberRate_Extension,NumberRate_AfterPath,SymbolCount_URL,SymbolCount_Domain,SymbolCount_Directoryname,SymbolCount_FileName,SymbolCount_Extension,SymbolCount_Afterpath,Entropy_URL,Entropy_Domain,Entropy_DirectoryName,Entropy_Filename,Entropy_Extension,Entropy_Afterpath
Querylength,1.0,0.04517445091776066,0.004259118843877908,-0.05615446579505012,0.008192556923778486,-0.12587155749159992,0.04517445091776066,0.7912157833099401,0.8441095872962783,0.9533815197079949,-0.03002240452492705,0.9548912982030702,-0.01552725692993417,0.9756981865318319,0.554724617492823,-0.003839452963357387,0.5585871787398696,-0.001036143835187825,0.6750373055022104,0.957545397451877,-0.0066245828498447895,0.9579527336283548,0.9579527336283548,-0.060006607753891376,-0.12783868610496518,0.9797766608051705,0.2992313114958062,0.46471443089052145,0.979361999692914,-0.25569455038107186,0.9199263168607804,0.34379498548166915,-0.008667637259706616,-0.003695470388791449,0.062250638408696025,,0.011432771733911194,0.9961040203042815,0.8130930616346141,-0.049091521952976384,-0.028941493785085832,-0.06519077439186413,0.8771258915934206,0.941048560150934,0.9673391024778591,0.0006199672690500966,-0.06340790641505988,-0.07128562204608775,0.9768173514611066,0.9976357849745842,0.9722564244028402,0.037234996333935656,-0.11481100182586461,-0.06595687762017012,0.09571926619354713,-0.021697889095241008,0.1218997152173076,-0.09228473699884619,-0.02469537856169501,-0.05847430819735129,0.11751132840614084,0.10476687006953152,-0.05502420997131727,-0.010904260700013773,0.029237811274868828,0.09384057810216763,0.24320042209425985,0.087772763286079,0.04540754889589231,-0.054289787407713425,0.11651354815965347,0.11057364975241517,0.11522372359380477,-0.3694181606915852,0.0019527739694976153,0.04590254887098535,-0.048953090671104836,0.043038673012983135,0.21987915606224398
domain_token_count,0.04517445091776066,1.0,-0.10101348095052058,-0.2129842163760692,0.06806499638576163,-0.012079575708478774,1.0,0.0018166673099600486,0.03990475984240093,0.053445026112000346,0.19728885609820815,0.04442801197425831,-0.05183088200946136,0.04040748696469803,0.06739264582906378,0.12096891417664833,0.05634560901270851,-0.03397241605387709,0.05787593834158199,0.07431025958899938,0.5912245591993623,0.026922615740170658,0.026922615740170658,-0.11881231270312147,-0.0518855916256109,0.07241048955091713,-0.262380780688029,0.12414368197656701,0.03601443629100535,0.3553680107193029,-0.08381820812598532,0.19269813658956372,0.005058969686528393,0.007688880431999187,0.6411967733043239,,-0.7104866089227434,0.03680886297993098,0.0902327475446849,0.1895120755051831,-0.05197830320745616,-0.044784505756283455,0.09887693022067076,0.0621965335949515,0.05913625599256091,0.4771799748716505,0.046541392202201486,-0.13204064348361638,0.027019545894644587,0.04065333049349261,0.018134488158832274,-0.00662930980088376,-0.015927997522851987,-0.052844686987646536,0.11547686239451828,-0.030671445865372456,0.09725662983693578,-0.00752443233695991,0.1183722527172838,-0.25024101976782,0.08859763019581215,0.07316249039397636,-0.01422777240285948,-0.008799541361323911,0.08937048146591824,0.13214411810493182,0.12028915388494055,0.30985914120452035,0.9986736361270541,0.06338278620804276,0.10926266792669426,0.07645356754280892,0.08429716791729111,-0.012042547101091537,-0.5035154604241748,0.04019452087571878,0.05769376556330245,0.1074294082520367,0.12175960650045686
path_token_count,0.004259118843877908,-0.10101348095052058,1.0,-0.10508942366707767,-0.09971070646400094,-0.13109469390547457,-0.10101348095052058,0.45953677461950154,0.3731553711239702,-0.033006101926618056,-0.04972872698973734,-0.03071521234279571,0.006964235136223479,-0.021870557496113555,0.0512516962421209,-0.035883265928966714,0.054977903056279614,0.03325982497279613,0.09353089546318961,0.20458855772864656,-0.1597738943680629,0.21711146510086957,0.21711146510086957,0.1579881538863581,-0.24510117261570885,0.10930056843742121,0.6919321823240903,0.34941287643026675,0.0886476002967285,-0.6371829088617424,0.22422437247536664,0.19095390271265616,-0.023195723517197658,-0.00925031325652174,0.19637380947033237,,0.09970013395613421,-0.02773556118553139,0.13108012156925278,-0.055936973613066085,0.21275460213603037,0.06685686280221023,0.08497406412651039,0.05016002127041096,0.15275206601893884,-0.14479742105028662,0.3919288417498473,0.17606316084265472,0.07148077306556094,-0.011120187865206464,0.12576510626071788,-0.04719329199578613,0.2797147828408389,0.43406756061147234,0.3208578478025937,0.03653942230037604,0.39837334066524227,0.3283652870328781,-0.114091703270217,0.7382778500650125,0.407226800607728,0.09479329418400168,-0.01409413261885343,-0.033251736122185155,-0.11964938611836179,-0.01291788183760369,0.2807006765125163,0.6037511785962475,-0.10058343959571582,0.32221967219431064,0.400531253207409,0.4138165935017146,0.4591199315093405,-0.5801599757346106,0.06073223003135535,-0.1681425443263596,-0.22951643837554014,-0.13321722139633052,0.2898637459305862
avgdomaintokenlen,-0.05615446579505012,-0.2129842163760692,-0.10508942366707767,1.0,0.895806603568298,-0.0019099159446872847,-0.2129842163760691,-0.08412556744203321,-0.07491550655873451,-0.04975988666594873,0.08918494467031983,-0.05388362025084688,-0.016815217591488834,-0.062033979503697066,-0.0016530130465498812,0.11643223957278202,-0.012705261431205539,-0.012673416597166635,-0.04076638777119389,-0.03707337567856935,0.6033674207577567,-0.08522215886471608,-0.08522215886471608,-0.003558099315940436,-0.01132858425355025,-0.06307471006155504,-0.3322150855504108,-0.07990582797671125,-0.09574174588915045,0.42287731860825617,-0.20063003067001453,0.02622721777101329,0.013084829581857093,-0.00100003068621012,-0.15275548067043423,,0.3029914204920937,-0.061017364123931994,-0.08806793065200767,-0.015314776441997795,-0.02497855800171539,-0.11918231047228314,-0.07166825799313076,-0.07682203116649153,-0.018846059440277306,0.6873393099565607,-0.014488750738574903,0.008973494798050161,-0.08313492446261689,-0.05360932011675119,-0.07540121259703733,0.7392823586970516,-0.08659043328403525,-0.13546000412594278,0.015158116362533013,-0.05606128974036766,-0.018856848837312784,-0.06457824031182936,0.3791419380490804,-0.03533273669557426,-0.022996085531004035,-0.14977945669699652,-0.14899253847770133,-0.09823341711395905,-0.058456250469336626,-0.12185694932921935,-0.1437653917284342,-0.11178188705604383,-0.2131863587955763,-0.0542098917609505,-0.056301469289760854,-0.030137152971116358,-0.02211603697714733,-0.14489473822861715,-0.22021508658298544,-0.0808097940670664,-0.05079835562887174,-0.11741793905963138,-0.14357888781307038
longdomaintokenlen,0.008192556923778486,0.06806499638576163,-0.09971070646400094,0.895806603568298,1.0,-0.019786336389806033,0.0680649963857616,-0.023847907709347055,-0.006578523472573483,0.011606810838267706,0.12005737397075922,0.006154567469259125,-0.05099907541258252,-0.0024100053309370076,0.06351342717697761,0.1584171387978227,0.04889053215804612,-0.037722234352003656,0.03035545942042687,0.039710999304194985,0.7675478194710624,-0.02158248931348279,-0.02158248931348279,-0.06081441962952272,-0.06875566381195118,0.014333523403854614,-0.3522146951714596,0.022418377376057893,-0.035138157885775435,0.475757766097457,-0.17313968702422203,0.13135691040641,0.010986569686450183,-0.008171726411542074,0.03567020167517509,,0.11246965645215445,-0.0029224451645936214,-0.016471839082358053,-0.008681859783994854,-0.047120187462493975,-0.14676379810377954,0.01782076552375522,0.0016021737387556677,0.051853594973737704,0.8290207015805312,-0.01585681612345879,-0.03383744689147223,-0.0170961113710795,0.006925228230086483,-0.013293976802143455,0.7792055818064691,-0.07405263890332267,-0.13331959808472701,0.0810058091169878,-0.0580094434780882,0.053752503574018694,-0.07274975376182342,0.44262245011903445,-0.1024514248918617,0.04634889845518967,-0.11960084816232433,-0.1831028927666094,-0.09563641149902054,-0.03230633023371854,-0.050399257278306415,-0.058146730812225204,0.0207361826825883,0.06544745022064695,-0.03976540325597361,0.021979176084737043,0.041137376349112256,0.04029925450238855,-0.17677495210591562,-0.36672583752625065,-0.05634779987512709,-0.03640276095564345,-0.07719968401364496,-0.060031272565086516
avgpathtokenlen,-0.12587155749159992,-0.012079575708478774,-0.13109469390547457,-0.0019099159446872847,-0.019786336389806033,1.0,-0.012079575708478757,-0.004112681839889547,0.021883367336090035,0.037780343883684994,0.043079250414717496,0.03588546106540163,0.24213358413657446,-0.09563967442462346,0.23295519382404128,0.014251597447119521,0.2330791860655096,0.20521370939178235,-0.07522275289098632,-0.010676820003923778,0.0007978412269450216,-0.010896876658656256,-0.010896876658656256,0.16396671288623868,0.011084486855493385,-0.16168234083920507,0.14097919866123454,-0.33942903057444745,-0.14749114709853145,-0.12444214847482966,0.007174185348730622,-0.38212990402006264,-0.001511612768233952,-0.004828331491948813,0.00380531735705714,,-0.06496068164192706,-0.10547069230488353,0.13479190992528994,-0.009874474854835436,0.2487114523100284,0.17629532168560724,-0.009032930432529607,-0.14112555404820962,-0.0336203813975842,-0.000363558224530376,0.20735569742688764,0.11980588991763964,-0.11907453321500518,-0.12269674810060664,-0.05259954593355416,-0.03745707456017278,0.2231380173694089,0.11209920475398708,-0.25705361937241444,-0.04045579878903778,-0.2666038172714286,0.12524003628520125,0.08112017878632607,-0.05359661913475827,-0.26998661552795455,0.29879967654837997,-0.03270731466296553,0.07927265801349748,0.18668236964046306,0.04932030554661218,-0.2502271486669587,-0.14497061079828139,-0.01186568364079951,0.10025825136212133,-0.17926683675665464,-0.15153499067080747,-0.2377170769236561,-0.014661635169261113,0.025137479450974182,0.06111382486496376,0.020422440371574226,-0.11218208836416114,-0.2550509630692894
tld,0.04517445091776066,1.0,-0.10101348095052058,-0.2129842163760691,0.0680649963857616,-0.012079575708478757,1.0,0.0018166673099600486,0.03990475984240093,0.053445026112000346,0.19728885609820815,0.04442801197425831,-0.05183088200946136,0.04040748696469803,0.06739264582906378,0.12096891417664833,0.05634560901270851,-0.03397241605387709,0.05787593834158199,0.07431025958899938,0.5912245591993623,0.026922615740170658,0.026922615740170658,-0.11881231270312147,-0.0518855916256109,0.07241048955091713,-0.262380780688029,0.12414368197656701,0.03601443629100535,0.3553680107193029,-0.08381820812598532,0.19269813658956372,0.005058969686528393,0.007688880431999187,0.6411967733043239,,-0.7104866089227434,0.03680886297993098,0.0902327475446849,0.1895120755051831,-0.05197830320745616,-0.044784505756283455,0.09887693022067076,0.0621965335949515,0.05913625599256091,0.4771799748716505,0.046541392202201486,-0.13204064348361638,0.027019545894644587,0.04065333049349261,0.018134488158832274,-0.00662930980088376,-0.015927997522851987,-0.052844686987646536,0.11547686239451828,-0.030671445865372456,0.09725662983693578,-0.00752443233695991,0.1183722527172838,-0.25024101976782,0.08859763019581215,0.07316249039397636,-0.01422777240285948,-0.008799541361323911,0.08937048146591824,0.13214411810493182,0.12028915388494055,0.30985914120452035,0.9986736361270541,0.06338278620804276,0.10926266792669426,0.07645356754280892,0.08429716791729111,-0.012042547101091537,-0.5035154604241748,0.04019452087571878,0.05769376556330245,0.1074294082520367,0.12175960650045686
charcompvowels,0.7912157833099401,0.0018166673099600486,0.45953677461950154,-0.08412556744203321,-0.023847907709347055,-0.004112681839889547,0.0018166673099600486,1.0,0.9460299940567884,0.7390513978507492,-0.0596711053042397,0.7419555525663114,-0.028630710041187807,0.7500670227546331,0.476463903657432,-0.021381565252850617,0.48149650486956924,0.0010223214522827307,0.5592889765144572,0.8917754415570767,-0.06665256558655354,0.896843421790071,0.896843421790071,-0.022856367583147744,-0.2586267935249906,0.829433823467937,0.6269430989945101,0.5128296145955945,0.8151533496663712,-0.5541335043187798,0.868596257037925,0.33830868525515667,-0.016204136020100585,-0.012192423601816509,0.08007837356381269,,0.014406822988195777,0.7664636314775618,0.6769499955373891,-0.10869860499576295,0.032885139595424155,-0.072384589685859,0.7273962207788623,0.7295482439366772,0.8882645658297205,-0.04455657582192994,0.14345060127912618,0.06093094760113878,0.8422168153232534,0.7889492694044858,0.8660353691661746,0.023518148950014216,0.22468805560474864,0.30059064725011214,0.2796728102078512,-0.028639301749876063,0.28603549790949895,0.04941394577849159,-0.04847490416796504,0.2971831574050282,0.28617870337267753,0.030933579487929675,-0.10120502293167982,-0.008828381433194596,-0.044229110740736766,0.07252213021013257,0.25474141717507454,0.35020335264997227,0.0023697540714880563,0.081041045856087,0.30383836858104823,0.3097755473561626,0.3021029119094114,-0.6882489077006498,0.0229906407359297,-0.0012972645267236294,-0.12951870030878812,-0.06315849394956445,0.2532335369431308
charcompace,0.8441095872962783,0.03990475984240093,0.3731553711239702,-0.07491550655873451,-0.006578523472573483,0.021883367336090035,0.03990475984240093,0.9460299940567884,1.0,0.830183531622412,-0.05148379842595597,0.8327020661717349,-0.0024291727985911683,0.8291286824999933,0.5895646948223817,-0.013752438328992958,0.5945870754259804,0.022880177578282833,0.6520341416848173,0.9343568636575245,-0.029032393997422776,0.9364491930741542,0.9364491930741542,-0.024959491349158903,-0.23192168153860354,0.8750840352353252,0.5720297271190786,0.49228605527715985,0.862137460248329,-0.49910531341094616,0.8957448079264172,0.3203904266866831,-0.012274681152533464,-0.012224446856340599,0.12103312916471629,,-0.0010455129097531148,0.829861024960437,0.7885249575059096,-0.09908204662052769,0.08039445754496312,-0.057316031305546765,0.8268327220141377,0.7993313492882642,0.9206434545075944,-0.010071257717330032,0.18149304157369756,0.028279054031362934,0.8704390041960818,0.8384040338182877,0.897365225226884,0.0438177465618325,0.14280332435839874,0.20709740170702753,0.19892264143131697,-0.034452558744252786,0.20348940208532953,0.09996568544262655,-0.04223727349665494,0.19546241635498598,0.20375255652753277,0.13918450974579885,-0.10560168282981229,0.010047545933198692,0.032774804005660685,0.134337226842063,0.25456187854083195,0.318936874968771,0.04037778367596656,0.15537713118262783,0.23974550991875135,0.244214380724622,0.23007582932377052,-0.6382263635319415,0.003650817491266996,0.03190115884402132,-0.09964421189131475,-0.03276167021277702,0.23781534145805083
ldl_url,0.9533815197079949,0.053445026112000346,-0.033006101926618056,-0.04975988666594873,0.011606810838267706,0.037780343883684994,0.053445026112000346,0.7390513978507492,0.830183531622412,1.0,0.025255986071617696,0.9989616139737325,0.05243544912538296,0.9817304766365119,0.7238565946850525,0.03570874277706381,0.725035266548317,0.054968877819329076,0.7623422947817091,0.945289149437902,0.014433513216767599,0.94400079472864,0.94400079472864,-0.023485964934703875,-0.1023737162766494,0.9309329629539728,0.2922657082786492,0.35857978140650887,0.9345228083262861,-0.24705016870632532,0.9081939552628218,0.23940042596551075,-0.00753614725608013,-0.0039525771929983244,0.07496936499646506,,0.0048670105072822194,0.9631030922265404,0.8950366263984,-0.01815764131999225,0.06859171092991581,-0.008902331126909732,0.9156581689946101,0.9142286541534778,0.9390544676931568,0.015113237458835981,0.023697732823494133,-0.05426540742719098,0.9253586034119041,0.9488417104353252,0.9401224777956544,0.03289501235239948,-0.1323189609356762,-0.09885103428982608,-0.019507991692374747,-0.025349487391241377,-0.013180587404307961,0.014606383626322687,-0.020151665020796822,-0.0807507592872859,-0.015971431318641524,0.23799316427348782,-0.04629804016899905,0.026243450814551983,0.10184331303013466,0.1311937694411984,0.18461558963867494,0.02076531620157617,0.05366261098016418,0.045944234139432064,0.005754207378818512,0.004120028541639093,-0.0046696427172170756,-0.3313378581246373,0.002309166211097795,0.06420154802034506,-0.03039214793880686,0.028659246322338187,0.14888104420763915
